Temperature,Humidity,Moisture,Soil_Type,Crop_Type,Nitrogen,Phosphorous,Potassium,Fertilizer
26,60,43,Red,Cotton,30,20,16,20-20
28,54,37,Clayey,Groundnut,18,34,24,10-26-26
25,62,44,Sandy,Wheat,34,16,11,Urea
31,48,33,Loamy,Maize,40,5,4,Urea
23,66,48,Black,Sugarcane,22,12,10,17-17-17
34,44,30,Red,Rice,34,20,17,28-28
27,58,40,Clayey,Cotton,28,18,15,20-20
30,50,36,Sandy,Groundnut,16,32,22,10-26-26
24,64,45,Loamy,Wheat,32,14,10,Urea
32,46,32,Black,Maize,42,6,5,Urea
26,60,42,Red,Sugarcane,24,14,12,17-17-17
29,52,37,Clayey,Rice,36,22,18,28-28
22,68,50,Sandy,Cotton,30,20,16,20-20
35,42,28,Loamy,Groundnut,18,34,24,10-26-26
27,58,41,Black,Wheat,34,16,11,Urea
30,50,35,Red,Maize,40,5,4,Urea
25,62,45,Clayey,Sugarcane,22,12,10,17-17-17
31,48,33,Sandy,Rice,34,20,17,28-28
23,66,47,Loamy,Cotton,28,18,15,20-20
33,44,30,Black,Groundnut,16,32,22,10-26-26
26,60,42,Red,Wheat,32,14,10,Urea
28,54,38,Clayey,Maize,42,6,5,Urea
24,64,46,Sandy,Sugarcane,24,14,12,17-17-17
32,46,31,Loamy,Rice,36,22,18,28-28
27,58,40,Black,Cotton,30,20,16,20-20
29,52,36,Red,Groundnut,18,34,24,10-26-26
30,50,35,Clayey,Wheat,34,16,11,Urea
22,68,49,Sandy,Maize,40,5,4,Urea
35,42,29,Loamy,Sugarcane,22,12,10,17-17-17
26,60,43,Black,Rice,34,20,17,28-28
28,54,37,Red,Cotton,28,18,15,20-20
25,62,44,Clayey,Groundnut,16,32,22,10-26-26
31,48,33,Sandy,Wheat,32,14,10,Urea
23,66,48,Loamy,Maize,42,6,5,Urea
34,44,30,Black,Sugarcane,24,14,12,17-17-17
27,58,40,Red,Rice,36,22,18,28-28
30,50,36,Clayey,Cotton,30,20,16,20-20
24,64,45,Sandy,Groundnut,18,34,24,10-26-26
32,46,32,Loamy,Wheat,34,16,11,Urea
26,60,42,Black,Maize,40,5,4,Urea
29,52,37,Red,Sugarcane,22,12,10,17-17-17
22,68,50,Clayey,Rice,34,20,17,28-28
35,42,28,Sandy,Cotton,28,18,15,20-20
27,58,41,Loamy,Groundnut,16,32,22,10-26-26
30,50,35,Black,Wheat,32,14,10,Urea
25,62,45,Red,Maize,42,6,5,Urea
31,48,33,Clayey,Sugarcane,24,14,12,17-17-17
23,66,47,Sandy,Rice,36,22,18,28-28
33,44,30,Loamy,Cotton,30,20,16,20-20
26,60,42,Black,Groundnut,18,34,24,10-26-26
28,54,38,Red,Wheat,34,16,11,Urea
24,64,46,Clayey,Maize,40,5,4,Urea
32,46,31,Sandy,Sugarcane,22,12,10,17-17-17
27,58,40,Loamy,Rice,34,20,17,28-28
29,52,36,Black,Cotton,28,18,15,20-20
30,50,35,Red,Groundnut,16,32,22,10-26-26
22,68,49,Clayey,Wheat,32,14,10,Urea
35,42,29,Sandy,Maize,42,6,5,Urea
26,60,43,Loamy,Sugarcane,24,14,12,17-17-17
28,54,37,Black,Rice,36,22,18,28-28
25,62,44,Red,Cotton,30,20,16,20-20
31,48,33,Clayey,Groundnut,18,34,24,10-26-26
23,66,48,Sandy,Wheat,34,16,11,Urea
34,44,30,Loamy,Maize,40,5,4,Urea
27,58,40,Black,Sugarcane,22,12,10,17-17-17
30,50,36,Red,Rice,34,20,17,28-28
24,64,45,Clayey,Cotton,28,18,15,20-20
32,46,32,Sandy,Groundnut,16,32,22,10-26-26
26,60,42,Loamy,Wheat,32,14,10,Urea
29,52,37,Black,Maize,42,6,5,Urea
22,68,50,Red,Sugarcane,24,14,12,17-17-17
