N,P,K,temperature,humidity,ph,rainfall,label
32,78,56,21.1,71.8,7.3,55.8,mungbean
26,88,64,19.3,73.5,6.7,50.4,mungbean
21,82,59,20.8,75.3,7.0,52.1,mungbean
30,86,61,18.2,72.9,6.9,48.3,mungbean
25,84,57,19.7,74.7,7.2,51.6,mungbean
22,91,63,21.5,71.2,6.6,54.9,mungbean
27,79,55,18.6,76.5,7.4,47.5,mungbean
26,125,51,19.9,68.2,5.2,70.8,blackgram
31,120,48,21.4,66.5,5.5,76.3,blackgram
23,130,53,18.6,70.1,5.0,68.4,blackgram
35,118,46,22.1,65.8,5.7,78.9,blackgram
28,128,55,20.3,67.9,5.3,72.1,blackgram
25,122,49,19.2,69.3,5.6,74.5,blackgram
33,126,52,21.8,66.1,5.1,80.2,blackgram
29,116,50,20.7,68.6,5.4,71.8,blackgram
24,132,47,18.9,70.5,5.8,69.3,blackgram
30,124,54,22.5,65.4,5.2,77.6,blackgram
17,58,17,27.4,52.1,7.2,43.7,lentil
22,55,15,29.1,50.3,6.9,48.2,lentil
14,62,19,26.3,54.6,7.5,41.3,lentil
26,52,13,28.6,49.8,7.1,50.9,lentil
19,60,21,27.8,51.4,7.3,45.1,lentil
16,56,16,29.5,52.8,6.8,47.6,lentil
24,59,18,26.9,53.2,7.4,42.8,lentil
20,53,14,28.2,50.7,7.0,49.4,lentil
15,61,20,30.1,54.1,6.7,44.5,lentil
23,57,12,27.1,51.9,7.6,46.3,lentil
101,59,43,32.5,57.3,6.9,48.2,pomegranate
95,62,40,34.1,55.8,7.2,52.6,pomegranate
108,56,46,31.8,59.1,6.7,45.9,pomegranate
88,64,38,33.6,54.2,7.4,54.3,pomegranate
98,61,44,32.2,56.7,7.0,49.7,pomegranate
105,58,41,35.2,58.5,6.8,51.4,pomegranate
92,65,47,31.5,57.9,7.3,47.1,pomegranate
110,54,39,33.9,55.4,6.6,53.8,pomegranate
96,63,45,32.8,56.1,7.1,50.5,pomegranate
103,57,42,34.5,58.2,6.9,48.9,pomegranate
18,46,50,20.6,84.9,7.5,202.1,banana
24,42,48,22.3,82.5,7.8,215.6,banana
15,50,52,19.8,86.3,7.2,198.4,banana
28,38,46,21.9,81.7,8.0,223.9,banana
21,48,54,20.2,85.6,7.4,206.7,banana
17,44,49,23.1,83.1,7.6,218.2,banana
26,40,51,19.5,87.8,7.3,195.8,banana
22,47,53,22.6,82.9,7.9,211.4,banana
19,45,47,21.3,84.2,7.7,208.9,banana
25,43,55,20.9,86.7,7.1,220.5,banana
80,11,60,28.3,64.7,6.5,93.4,mango
75,15,58,30.1,62.3,6.8,101.2,mango
85,9,62,27.6,66.8,6.3,88.7,mango
72,13,56,29.5,61.5,7.0,96.8,mango
78,10,64,28.9,63.2,6.6,92.3,mango
88,14,59,31.2,65.4,6.4,104.6,mango
70,12,61,27.1,67.1,6.9,86.5,mango
82,8,57,30.7,60.9,6.7,99.1,mango
76,16,63,28.5,64.0,6.5,94.8,mango
84,11,55,29.8,62.7,6.2,97.4,mango
100,18,30,23.7,60.3,5.5,202.9,grapes
95,22,28,25.4,58.7,5.8,215.4,grapes
105,16,32,22.9,62.1,5.3,198.6,grapes
90,20,26,26.1,57.2,6.0,223.7,grapes
98,19,34,24.3,59.8,5.6,206.1,grapes
108,15,29,23.1,61.4,5.4,211.8,grapes
92,23,31,25.9,58.5,5.9,219.3,grapes
102,17,27,22.6,60.6,5.7,203.5,grapes
96,21,33,24.8,59.1,5.2,209.7,grapes
110,14,25,26.7,61.8,5.5,227.4,grapes
60,55,71,18.4,89.8,6.0,103.4,watermelon
55,60,68,20.1,87.3,6.3,115.6,watermelon
65,52,73,17.8,91.5,5.8,98.2,watermelon
52,58,66,21.3,85.9,6.5,122.8,watermelon
62,56,75,19.6,88.6,6.1,107.9,watermelon
58,62,69,18.2,90.4,6.4,111.3,watermelon
68,50,72,20.8,86.7,5.9,119.5,watermelon
54,64,70,17.5,92.1,6.2,105.7,watermelon
61,54,67,19.9,89.2,6.6,113.4,watermelon
66,59,74,21.6,87.8,5.7,124.1,watermelon
50,26,30,24.6,55.9,5.8,102.7,muskmelon
48,30,28,26.3,53.4,6.1,115.3,muskmelon
52,24,32,23.8,58.2,5.6,98.4,muskmelon
45,28,26,27.1,52.1,6.3,121.6,muskmelon
54,25,34,25.4,54.7,5.9,106.8,muskmelon
47,32,29,24.2,56.3,6.0,109.2,muskmelon
56,22,31,26.8,51.6,6.2,118.9,muskmelon
49,29,27,23.5,57.5,5.7,102.1,muskmelon
51,27,33,25.9,53.9,6.4,112.7,muskmelon
53,23,25,27.5,55.1,5.5,125.4,muskmelon
6,14,8,20.6,80.3,6.8,200.9,apple
8,12,10,18.9,82.7,6.5,215.6,apple
5,16,7,22.3,78.5,7.1,198.3,apple
10,11,9,19.7,81.2,6.9,223.4,apple
7,15,11,21.4,79.8,6.6,207.8,apple
9,13,6,20.1,83.4,7.0,211.2,apple
4,17,12,18.2,80.9,6.7,219.7,apple
11,10,8,22.9,77.6,7.2,203.5,apple
8,14,10,19.5,82.1,6.4,208.9,apple
6,16,9,21.7,79.3,6.8,226.1,apple
20,145,40,36.5,66.8,5.8,50.2,orange
25,140,38,38.2,64.3,6.1,56.7,orange
18,150,42,35.1,68.5,5.6,48.9,orange
28,138,36,37.8,63.7,6.3,58.3,orange
22,148,44,36.9,65.2,5.9,52.4,orange
17,142,39,39.1,67.1,6.0,54.8,orange
26,136,41,35.6,64.9,6.2,51.6,orange
21,152,37,38.5,66.4,5.7,57.1,orange
24,144,43,37.2,68.8,6.4,49.7,orange
19,146,35,36.3,65.7,5.5,55.9,orange
5,20,15,27.8,85.6,6.9,118.8,papaya
8,18,13,29.4,83.2,7.2,125.3,papaya
4,22,17,26.5,87.9,6.7,112.4,papaya
10,16,12,30.1,81.5,7.4,131.7,papaya
6,24,19,28.3,84.8,6.5,120.9,papaya
9,19,14,27.1,86.3,7.0,116.2,papaya
3,21,16,31.5,82.7,6.8,128.5,papaya
7,17,18,26.9,88.1,7.3,114.6,papaya
11,23,11,29.8,83.9,6.6,123.1,papaya
5,25,20,28.6,85.4,7.1,119.8,papaya
23,60,55,33.2,50.1,7.3,175.7,coconut
28,55,52,35.8,48.6,7.6,189.2,coconut
20,65,58,31.5,52.3,7.0,168.3,coconut
32,52,50,34.6,47.9,7.8,195.8,coconut
25,62,60,33.9,49.4,7.2,181.5,coconut
21,58,54,36.2,51.7,7.5,173.9,coconut
30,57,56,32.8,48.2,7.9,186.4,coconut
26,63,53,35.1,50.8,7.1,177.6,coconut
24,60,59,34.4,49.1,7.4,192.1,coconut
29,54,51,33.5,52.6,7.7,170.8,coconut
10,120,70,30.2,92.7,6.2,260.3,cotton
15,115,68,32.5,90.4,6.5,275.6,cotton
8,125,72,29.1,94.1,6.0,253.8,cotton
18,110,66,31.8,89.2,6.7,282.4,cotton
12,122,74,30.9,91.6,6.3,268.7,cotton
14,118,69,33.2,93.3,6.1,271.9,cotton
9,128,71,28.6,95.5,6.6,258.1,cotton
16,112,67,32.1,88.9,6.4,279.3,cotton
11,124,73,31.4,92.1,6.8,265.5,cotton
17,116,65,34.6,90.8,5.9,286.7,cotton
110,35,38,26.8,52.5,7.0,89.3,jute
105,40,36,28.4,50.9,7.3,95.6,jute
115,32,40,25.6,54.1,6.8,84.7,jute
100,38,34,29.1,49.3,7.5,98.2,jute
108,36,42,27.3,51.8,6.9,91.4,jute
118,30,37,26.2,53.6,7.2,87.1,jute
102,42,35,30.5,48.7,7.1,102.8,jute
112,34,39,24.9,55.3,7.4,82.5,jute
106,37,41,28.9,50.2,6.7,96.9,jute
120,33,33,27.6,52.4,7.6,89.7,jute
70,58,45,28.9,58.4,6.8,115.2,coffee
68,62,42,30.5,56.1,7.1,122.7,coffee
72,55,48,27.3,60.7,6.6,108.9,coffee
65,60,40,31.2,54.8,7.3,128.4,coffee
74,56,46,29.6,57.3,6.9,118.6,coffee
66,64,44,28.1,59.2,7.0,112.3,coffee
76,54,50,32.8,55.6,6.7,135.1,coffee
69,58,43,26.7,61.5,7.2,105.8,coffee
71,61,47,30.9,56.9,6.5,124.9,coffee
67,59,41,29.3,58.8,7.4,119.7,coffee
