Plant,Disease,Symptoms,Temperature_Range,Humidity_Range,Season,Severity,Treatment,Prevention
Apple,Scab,Olive-green to black spots on leaves and fruits,16-24,90-100,Spring,High,Apply captan or myclobutanil,Prune for air circulation
Apple,Powdery Mildew,White powdery growth on new growth,18-25,70-90,Spring,Moderate,Apply sulfur or triadimefon,Remove infected shoots
Apple,Fire Blight,Blackened blossoms and shoots,18-26,60-85,Spring,High,Apply streptomycin during bloom,Prune infected branches
Apple,Cedar Apple Rust,Yellow-orange spots on leaves,18-24,80-95,Spring,Moderate,Apply fungicide during wet periods,Remove nearby cedar trees
Mango,Anthracnose,Black spots on fruits and leaves,25-32,85-95,Monsoon,High,Apply carbendazim or mancozeb,Proper pruning and sanitation
Mango,Powdery Mildew,White powdery coating on flowers and leaves,20-30,50-80,Spring,High,Apply sulfur or hexaconazole,Remove infected flowers
Mango,Bacterial Canker,Raised corky lesions on fruits,25-35,70-90,Summer,Moderate,Apply copper oxychloride,Prune infected branches
Mango,Sooty Mould,Black coating on leaves and fruits,25-35,80-95,Monsoon,Low,Control insects and apply soap solution,Improve air circulation
Banana,Panama Wilt,Yellowing and wilting of older leaves,24-32,70-90,All Seasons,High,No effective cure,Use resistant varieties
Banana,Sigatoka,Brown streaks and spots on leaves,25-28,85-95,Monsoon,High,Apply propiconazole or azoxystrobin,Remove infected leaves
Banana,Bunchy Top,Stunted growth with bunched leaves,22-30,70-85,All Seasons,High,Remove infected plants,Control aphids
Banana,Bacterial Wilt,Wilting of leaves starting from margins,25-35,75-90,All Seasons,High,Remove and destroy infected plants,Disinfect tools
Chili,Leaf Curl,Upward curling and puckering of leaves,25-35,60-80,Summer,High,Control whiteflies with insecticides,Use yellow sticky traps
Chili,Powdery Mildew,White powdery coating on leaves,22-28,60-80,Winter,Moderate,Apply sulfur or azoxystrobin,Proper spacing
Chili,Anthracnose,Sunken circular lesions on fruits,25-30,80-95,Monsoon,High,Apply mancozeb or carbendazim,Harvest mature fruits
Chili,Bacterial Wilt,Sudden wilting without yellowing,28-35,75-90,Summer,High,No effective cure,Crop rotation and resistant varieties
Soybean,Rust,Reddish-brown pustules on lower leaf surface,20-28,80-95,Monsoon,Moderate,Apply triazole fungicides,Use early maturing varieties
Soybean,Bacterial Blight,Water-soaked lesions with yellow halo,25-30,80-90,Monsoon,Moderate,Apply copper-based bactericide,Use disease-free seeds
Soybean,Frogeye Leaf Spot,Circular spots with gray center,22-28,75-90,Monsoon,Moderate,Apply azoxystrobin or trifloxystrobin,Crop rotation
Soybean,Pod Blight,Dark lesions on pods,25-30,85-95,Monsoon,Moderate,Apply fungicide during pod formation,Timely harvesting
Groundnut,Tikka Disease,Circular dark brown spots on leaves,25-30,80-90,Monsoon,High,Apply chlorothalonil or mancozeb,Crop rotation
Groundnut,Rust,Orange pustules on lower leaf surface,22-28,85-95,Monsoon,Moderate,Apply tebuconazole or propiconazole,Use resistant varieties
Groundnut,Stem Rot,Rotting of stem at soil level,28-35,75-90,Monsoon,High,Apply carbendazim to soil,Proper drainage
Groundnut,Bud Necrosis,Necrotic spots on leaves and growing tips,25-32,60-80,Summer,Moderate,Control thrips with insecticides,Remove infected plants
Onion,Purple Blotch,Purple spots with concentric rings,20-25,85-95,Monsoon,Moderate,Apply mancozeb or chlorothalonil,Crop rotation
Onion,Stemphylium Blight,Small brown spots on leaves,15-25,80-95,Monsoon,Moderate,Apply azoxystrobin or difenoconazole,Proper spacing
Onion,Basal Rot,Rotting of bulb from base,25-32,70-85,Storage,Moderate,Proper curing and storage,Avoid injury during harvesting
Onion,Downy Mildew,Pale green to yellow patches on leaves,15-22,90-100,Winter,High,Apply metalaxyl or mancozeb,Avoid excess irrigation
