State,District,Date,Year,Month,Avg_rainfall
Andaman & Nicobar,North & Middle Andaman,2022-01-12,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-13,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-14,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-15,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-09,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-16,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-17,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-19,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-18,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-21,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-22,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-23,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-24,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-25,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-26,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-20,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-27,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-28,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-29,2022,1,0.0
Andaman & Nicobar,North & Middle Andaman,2022-01-30,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-01,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-03,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-04,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-05,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-06,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-07,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-08,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-10,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-11,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-12,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-13,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-14,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-15,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-09,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-16,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-17,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-19,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-18,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-21,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-22,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-23,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-24,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-25,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-26,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-20,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-27,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-28,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-29,2022,1,0.0
Andaman & Nicobar,South Andaman,2022-01-30,2022,1,0.0
Andhra Pradesh,Ananthapur,2022-01-01,2022,1,0.00092193
Andhra Pradesh,Ananthapur,2022-01-03,2022,1,0.002314045
Andhra Pradesh,Ananthapur,2022-01-04,2022,1,0.009019552
Andhra Pradesh,Ananthapur,2022-01-05,2022,1,0.0
Andhra Pradesh,Ananthapur,2022-01-06,2022,1,0.0
Andhra Pradesh,Ananthapur,2022-01-07,2022,1,0.007791848
Andhra Pradesh,Ananthapur,2022-01-08,2022,1,2.77e-05
Andhra Pradesh,Ananthapur,2022-01-09,2022,1,0.003311267
Andhra Pradesh,Ananthapur,2022-01-10,2022,1,3.07e-06
Andhra Pradesh,Ananthapur,2022-01-11,2022,1,0.021520928
Andhra Pradesh,Ananthapur,2022-01-12,2022,1,0.005947987
Andhra Pradesh,Ananthapur,2022-01-13,2022,1,0.286076526
Andhra Pradesh,Ananthapur,2022-01-14,2022,1,0.0
Andhra Pradesh,Ananthapur,2022-01-15,2022,1,0.587315734
Andhra Pradesh,Ananthapur,2022-01-16,2022,1,0.0
Andhra Pradesh,Ananthapur,2022-01-17,2022,1,0.0
Andhra Pradesh,Ananthapur,2022-01-18,2022,1,0.020897088
Andhra Pradesh,Ananthapur,2022-01-19,2022,1,0.00043638
Andhra Pradesh,Ananthapur,2022-01-20,2022,1,0.002973225
Andhra Pradesh,Ananthapur,2022-01-21,2022,1,5.99e-05
Andhra Pradesh,Ananthapur,2022-01-22,2022,1,0.0
Andhra Pradesh,Ananthapur,2022-01-23,2022,1,6.3e-05
Andhra Pradesh,Ananthapur,2022-01-24,2022,1,0.000116778
Andhra Pradesh,Ananthapur,2022-01-25,2022,1,0.007043548
Andhra Pradesh,Ananthapur,2022-01-26,2022,1,0.002168073
Andhra Pradesh,Ananthapur,2022-01-27,2022,1,0.78271119
Andhra Pradesh,Ananthapur,2022-01-28,2022,1,0.037613222
Andhra Pradesh,Ananthapur,2022-01-29,2022,1,0.007782629
Andhra Pradesh,Ananthapur,2022-01-30,2022,1,0.008400322
Andhra Pradesh,Chittoor,2022-01-01,2022,1,0.042516986
Andhra Pradesh,Chittoor,2022-01-03,2022,1,0.0
Andhra Pradesh,Chittoor,2022-01-04,2022,1,0.0
Andhra Pradesh,Chittoor,2022-01-05,2022,1,3.59e-05
Andhra Pradesh,Chittoor,2022-01-06,2022,1,0.000197614
Andhra Pradesh,Chittoor,2022-01-07,2022,1,0.0
Andhra Pradesh,Chittoor,2022-01-08,2022,1,0.0
Andhra Pradesh,Chittoor,2022-01-09,2022,1,0.000299415
Andhra Pradesh,Chittoor,2022-01-10,2022,1,0.000495033
Andhra Pradesh,Chittoor,2022-01-11,2022,1,0.000143719
Andhra Pradesh,Chittoor,2022-01-12,2022,1,2.4e-05
Andhra Pradesh,Chittoor,2022-01-13,2022,1,0.144629611
Andhra Pradesh,Chittoor,2022-01-14,2022,1,0.397024811
Andhra Pradesh,Chittoor,2022-01-15,2022,1,2.148465133
Andhra Pradesh,Chittoor,2022-01-16,2022,1,0.588409134
Andhra Pradesh,Chittoor,2022-01-17,2022,1,0.895176173
Andhra Pradesh,Chittoor,2022-01-18,2022,1,0.217062187
Andhra Pradesh,Chittoor,2022-01-19,2022,1,0.001261537
Andhra Pradesh,Chittoor,2022-01-20,2022,1,0.0
Andhra Pradesh,Chittoor,2022-01-21,2022,1,0.0
Andhra Pradesh,Chittoor,2022-01-22,2022,1,0.0
Andhra Pradesh,Chittoor,2022-01-23,2022,1,0.0
Andhra Pradesh,Chittoor,2022-01-24,2022,1,0.239228907
Andhra Pradesh,Chittoor,2022-01-25,2022,1,0.499370981
Andhra Pradesh,Chittoor,2022-01-26,2022,1,0.194767717
Andhra Pradesh,Chittoor,2022-01-27,2022,1,0.545830269
Andhra Pradesh,Chittoor,2022-01-28,2022,1,0.309651407
Andhra Pradesh,Chittoor,2022-01-29,2022,1,0.007417517
Andhra Pradesh,Chittoor,2022-01-30,2022,1,0.0
Andhra Pradesh,East Godavari,2022-01-01,2022,1,0.031319891
Andhra Pradesh,East Godavari,2022-01-03,2022,1,0.0
Andhra Pradesh,East Godavari,2022-01-04,2022,1,0.000195182
Andhra Pradesh,East Godavari,2022-01-05,2022,1,0.0
Andhra Pradesh,East Godavari,2022-01-06,2022,1,3.63e-05
Andhra Pradesh,East Godavari,2022-01-07,2022,1,2.72e-05
Andhra Pradesh,East Godavari,2022-01-08,2022,1,0.001935932
Andhra Pradesh,East Godavari,2022-01-09,2022,1,0.009232559
Andhra Pradesh,East Godavari,2022-01-10,2022,1,0.0
Andhra Pradesh,East Godavari,2022-01-11,2022,1,0.025301025
Andhra Pradesh,East Godavari,2022-01-12,2022,1,0.593732075
Andhra Pradesh,East Godavari,2022-01-13,2022,1,6.22038674
Andhra Pradesh,East Godavari,2022-01-14,2022,1,0.683590656
Andhra Pradesh,East Godavari,2022-01-15,2022,1,2.596668585
Andhra Pradesh,East Godavari,2022-01-16,2022,1,0.315731732
Andhra Pradesh,East Godavari,2022-01-17,2022,1,0.028603231
Andhra Pradesh,East Godavari,2022-01-18,2022,1,0.0
Andhra Pradesh,East Godavari,2022-01-19,2022,1,0.000451642
Andhra Pradesh,East Godavari,2022-01-20,2022,1,0.0
Andhra Pradesh,East Godavari,2022-01-21,2022,1,0.0
Andhra Pradesh,East Godavari,2022-01-22,2022,1,0.005764676
Andhra Pradesh,East Godavari,2022-01-23,2022,1,0.0
Andhra Pradesh,East Godavari,2022-01-24,2022,1,0.343862895
Andhra Pradesh,East Godavari,2022-01-25,2022,1,0.391176356
Andhra Pradesh,East Godavari,2022-01-26,2022,1,0.009554836
Andhra Pradesh,East Godavari,2022-01-27,2022,1,0.073751534
Andhra Pradesh,East Godavari,2022-01-28,2022,1,5.9e-05
Andhra Pradesh,East Godavari,2022-01-29,2022,1,0.0
Andhra Pradesh,East Godavari,2022-01-30,2022,1,5.45e-05
Andhra Pradesh,Guntur,2022-01-01,2022,1,0.005181999
Andhra Pradesh,Guntur,2022-01-03,2022,1,0.0
Andhra Pradesh,Guntur,2022-01-04,2022,1,0.141541118
Andhra Pradesh,Guntur,2022-01-05,2022,1,0.012576711
Andhra Pradesh,Guntur,2022-01-06,2022,1,0.001961387
Andhra Pradesh,Guntur,2022-01-07,2022,1,0.066886651
Andhra Pradesh,Guntur,2022-01-08,2022,1,0.023500365
Andhra Pradesh,Guntur,2022-01-09,2022,1,0.002873418
Andhra Pradesh,Guntur,2022-01-10,2022,1,0.014913793
Andhra Pradesh,Guntur,2022-01-11,2022,1,0.010338088
Andhra Pradesh,Guntur,2022-01-12,2022,1,0.000639977
Andhra Pradesh,Guntur,2022-01-13,2022,1,9.090741828
Andhra Pradesh,Guntur,2022-01-14,2022,1,0.326206832
Andhra Pradesh,Guntur,2022-01-15,2022,1,2.24046314
Andhra Pradesh,Guntur,2022-01-16,2022,1,0.885347105
Andhra Pradesh,Guntur,2022-01-17,2022,1,0.386815491
Andhra Pradesh,Guntur,2022-01-18,2022,1,0.095594925
Andhra Pradesh,Guntur,2022-01-19,2022,1,0.018979071
Andhra Pradesh,Guntur,2022-01-20,2022,1,0.000121777
Andhra Pradesh,Guntur,2022-01-21,2022,1,0.000145096
Andhra Pradesh,Guntur,2022-01-22,2022,1,0.134472872
Andhra Pradesh,Guntur,2022-01-23,2022,1,0.016846678
Andhra Pradesh,Guntur,2022-01-24,2022,1,0.075597591
Andhra Pradesh,Guntur,2022-01-25,2022,1,0.007811863
Andhra Pradesh,Guntur,2022-01-26,2022,1,0.020041381
Andhra Pradesh,Guntur,2022-01-27,2022,1,0.485263106
Andhra Pradesh,Guntur,2022-01-28,2022,1,0.0
Andhra Pradesh,Guntur,2022-01-29,2022,1,0.000266873
Andhra Pradesh,Guntur,2022-01-30,2022,1,0.000357558
Andhra Pradesh,Krishna,2022-01-01,2022,1,0.049900964
Andhra Pradesh,Krishna,2022-01-03,2022,1,0.0
Andhra Pradesh,Krishna,2022-01-04,2022,1,0.02998441
Andhra Pradesh,Krishna,2022-01-05,2022,1,0.010526406
Andhra Pradesh,Krishna,2022-01-06,2022,1,0.000269735
Andhra Pradesh,Krishna,2022-01-07,2022,1,0.016082946
Andhra Pradesh,Krishna,2022-01-08,2022,1,0.010860203
Andhra Pradesh,Krishna,2022-01-09,2022,1,0.006625364
Andhra Pradesh,Krishna,2022-01-10,2022,1,0.003331226
Andhra Pradesh,Krishna,2022-01-11,2022,1,0.017279894
Andhra Pradesh,Krishna,2022-01-12,2022,1,0.035682561
Andhra Pradesh,Krishna,2022-01-13,2022,1,3.602785511
Andhra Pradesh,Krishna,2022-01-14,2022,1,0.325030601
Andhra Pradesh,Krishna,2022-01-15,2022,1,1.844919545
Andhra Pradesh,Krishna,2022-01-16,2022,1,0.63752527
Andhra Pradesh,Krishna,2022-01-17,2022,1,0.0
Andhra Pradesh,Krishna,2022-01-18,2022,1,0.0
Andhra Pradesh,Krishna,2022-01-19,2022,1,0.003115439
Andhra Pradesh,Krishna,2022-01-20,2022,1,0.0
Andhra Pradesh,Krishna,2022-01-21,2022,1,0.000768745
Andhra Pradesh,Krishna,2022-01-22,2022,1,0.176676385
Andhra Pradesh,Krishna,2022-01-23,2022,1,0.008078561
Andhra Pradesh,Krishna,2022-01-24,2022,1,0.932729931
Andhra Pradesh,Krishna,2022-01-25,2022,1,0.09742826
Andhra Pradesh,Krishna,2022-01-26,2022,1,0.014093651
Andhra Pradesh,Krishna,2022-01-27,2022,1,0.177741838
Andhra Pradesh,Krishna,2022-01-28,2022,1,0.0
Andhra Pradesh,Krishna,2022-01-29,2022,1,0.000849665
Andhra Pradesh,Krishna,2022-01-30,2022,1,0.041636959
Andhra Pradesh,Kurnool,2022-01-01,2022,1,0.012971278
Andhra Pradesh,Kurnool,2022-01-03,2022,1,0.004132035
Andhra Pradesh,Kurnool,2022-01-04,2022,1,0.000337936
Andhra Pradesh,Kurnool,2022-01-05,2022,1,0.0
Andhra Pradesh,Kurnool,2022-01-06,2022,1,0.0
Andhra Pradesh,Kurnool,2022-01-07,2022,1,0.000460822
Andhra Pradesh,Kurnool,2022-01-08,2022,1,0.007246848
Andhra Pradesh,Kurnool,2022-01-09,2022,1,0.0
Andhra Pradesh,Kurnool,2022-01-10,2022,1,8.7e-05
Andhra Pradesh,Kurnool,2022-01-11,2022,1,0.015906883
Andhra Pradesh,Kurnool,2022-01-12,2022,1,0.02652797
Andhra Pradesh,Kurnool,2022-01-13,2022,1,4.128530776
Andhra Pradesh,Kurnool,2022-01-14,2022,1,0.002730795
Andhra Pradesh,Kurnool,2022-01-15,2022,1,0.320185756
Andhra Pradesh,Kurnool,2022-01-16,2022,1,0.0
Andhra Pradesh,Kurnool,2022-01-17,2022,1,0.0
Andhra Pradesh,Kurnool,2022-01-18,2022,1,0.000537625
Andhra Pradesh,Kurnool,2022-01-19,2022,1,0.002116366
Andhra Pradesh,Kurnool,2022-01-20,2022,1,0.013169261
Andhra Pradesh,Kurnool,2022-01-21,2022,1,0.003534673
Andhra Pradesh,Kurnool,2022-01-22,2022,1,0.0
Andhra Pradesh,Kurnool,2022-01-23,2022,1,0.013534504
Andhra Pradesh,Kurnool,2022-01-24,2022,1,0.028113538
Andhra Pradesh,Kurnool,2022-01-25,2022,1,0.0
Andhra Pradesh,Kurnool,2022-01-26,2022,1,0.001686266
Andhra Pradesh,Kurnool,2022-01-27,2022,1,0.001577034
Andhra Pradesh,Kurnool,2022-01-28,2022,1,0.000153607
Andhra Pradesh,Kurnool,2022-01-29,2022,1,0.066421477
Andhra Pradesh,Kurnool,2022-01-30,2022,1,0.000486423
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-01,2022,1,0.219382313
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-03,2022,1,0.0
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-04,2022,1,0.0
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-05,2022,1,0.008504729
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-06,2022,1,0.082810623
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-07,2022,1,0.014240685
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-08,2022,1,0.010342309
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-09,2022,1,0.020907833
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-10,2022,1,0.001510649
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-11,2022,1,0.023633766
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-12,2022,1,0.206066054
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-13,2022,1,3.054291063
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-14,2022,1,1.291041236
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-15,2022,1,1.509115823
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-16,2022,1,1.479076454
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-17,2022,1,2.548728694
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-18,2022,1,2.235163052
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-19,2022,1,0.023787085
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-20,2022,1,0.0
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-21,2022,1,0.0
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-22,2022,1,0.0
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-23,2022,1,0.436095061
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-24,2022,1,0.044951954
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-25,2022,1,0.267398405
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-26,2022,1,0.515839291
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-27,2022,1,0.386318048
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-28,2022,1,1.185307078
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-29,2022,1,0.0
Andhra Pradesh,Potti Sriramulu Nellore,2022-01-30,2022,1,0.0
Andhra Pradesh,Prakasam,2022-01-01,2022,1,0.007404161
Andhra Pradesh,Prakasam,2022-01-03,2022,1,0.0
Andhra Pradesh,Prakasam,2022-01-04,2022,1,5.22e-05
Andhra Pradesh,Prakasam,2022-01-05,2022,1,2.36e-05
Andhra Pradesh,Prakasam,2022-01-06,2022,1,0.001968834
Andhra Pradesh,Prakasam,2022-01-07,2022,1,0.258576846
Andhra Pradesh,Prakasam,2022-01-08,2022,1,0.004795877
Andhra Pradesh,Prakasam,2022-01-09,2022,1,9.26e-05
Andhra Pradesh,Prakasam,2022-01-10,2022,1,0.00974825
Andhra Pradesh,Prakasam,2022-01-11,2022,1,0.012445721
Andhra Pradesh,Prakasam,2022-01-12,2022,1,0.091621439
Andhra Pradesh,Prakasam,2022-01-13,2022,1,3.99277099
Andhra Pradesh,Prakasam,2022-01-14,2022,1,0.440211001
Andhra Pradesh,Prakasam,2022-01-15,2022,1,1.893041924
Andhra Pradesh,Prakasam,2022-01-16,2022,1,3.428979501
Andhra Pradesh,Prakasam,2022-01-17,2022,1,1.419821829
Andhra Pradesh,Prakasam,2022-01-18,2022,1,2.599415669
Andhra Pradesh,Prakasam,2022-01-19,2022,1,0.028332693
Andhra Pradesh,Prakasam,2022-01-20,2022,1,0.023827935
Andhra Pradesh,Prakasam,2022-01-21,2022,1,0.0
Andhra Pradesh,Prakasam,2022-01-22,2022,1,0.02322214
Andhra Pradesh,Prakasam,2022-01-23,2022,1,0.000440884
Andhra Pradesh,Prakasam,2022-01-24,2022,1,0.003387403
Andhra Pradesh,Prakasam,2022-01-25,2022,1,0.037513853
Andhra Pradesh,Prakasam,2022-01-26,2022,1,0.009773492
Andhra Pradesh,Prakasam,2022-01-27,2022,1,0.23485829
Andhra Pradesh,Prakasam,2022-01-28,2022,1,0.0
Andhra Pradesh,Prakasam,2022-01-29,2022,1,0.0
Andhra Pradesh,Prakasam,2022-01-30,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-01,2022,1,0.005981361
Andhra Pradesh,Srikakulam,2022-01-03,2022,1,0.002038647
Andhra Pradesh,Srikakulam,2022-01-04,2022,1,0.004595679
Andhra Pradesh,Srikakulam,2022-01-05,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-06,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-07,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-08,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-09,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-10,2022,1,0.000358882
Andhra Pradesh,Srikakulam,2022-01-11,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-12,2022,1,0.797260546
Andhra Pradesh,Srikakulam,2022-01-13,2022,1,3.198158773
Andhra Pradesh,Srikakulam,2022-01-14,2022,1,1.578082318
Andhra Pradesh,Srikakulam,2022-01-15,2022,1,1.974746219
Andhra Pradesh,Srikakulam,2022-01-16,2022,1,0.040219666
Andhra Pradesh,Srikakulam,2022-01-17,2022,1,0.000139565
Andhra Pradesh,Srikakulam,2022-01-18,2022,1,0.000139565
Andhra Pradesh,Srikakulam,2022-01-19,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-20,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-21,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-22,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-23,2022,1,0.0
Andhra Pradesh,Srikakulam,2022-01-24,2022,1,0.003663583
Andhra Pradesh,Srikakulam,2022-01-25,2022,1,3.127533857
Andhra Pradesh,Srikakulam,2022-01-26,2022,1,0.001251101
Andhra Pradesh,Srikakulam,2022-01-27,2022,1,0.004805026
Andhra Pradesh,Srikakulam,2022-01-28,2022,1,0.00290096
Andhra Pradesh,Srikakulam,2022-01-29,2022,1,9.97e-06
Andhra Pradesh,Srikakulam,2022-01-30,2022,1,4.98e-06
Andhra Pradesh,Vishakhapatnam,2022-01-01,2022,1,0.00151744
Andhra Pradesh,Vishakhapatnam,2022-01-03,2022,1,0.065077932
Andhra Pradesh,Vishakhapatnam,2022-01-04,2022,1,0.026416097
Andhra Pradesh,Vishakhapatnam,2022-01-05,2022,1,0.0
Andhra Pradesh,Vishakhapatnam,2022-01-06,2022,1,0.0
Andhra Pradesh,Vishakhapatnam,2022-01-07,2022,1,0.0
Andhra Pradesh,Vishakhapatnam,2022-01-08,2022,1,0.002673223
Andhra Pradesh,Vishakhapatnam,2022-01-09,2022,1,0.002683339
Andhra Pradesh,Vishakhapatnam,2022-01-10,2022,1,0.028742837
Andhra Pradesh,Vishakhapatnam,2022-01-11,2022,1,2.53e-05
Andhra Pradesh,Vishakhapatnam,2022-01-12,2022,1,0.003563454
Andhra Pradesh,Vishakhapatnam,2022-01-13,2022,1,4.492701495
Andhra Pradesh,Vishakhapatnam,2022-01-14,2022,1,1.360637619
Andhra Pradesh,Vishakhapatnam,2022-01-15,2022,1,3.783078395
Andhra Pradesh,Vishakhapatnam,2022-01-16,2022,1,1.304950111
Andhra Pradesh,Vishakhapatnam,2022-01-17,2022,1,0.000303488
Andhra Pradesh,Vishakhapatnam,2022-01-18,2022,1,0.0
Andhra Pradesh,Vishakhapatnam,2022-01-19,2022,1,0.0
Andhra Pradesh,Vishakhapatnam,2022-01-20,2022,1,0.000634796
Andhra Pradesh,Vishakhapatnam,2022-01-21,2022,1,0.0
Andhra Pradesh,Vishakhapatnam,2022-01-22,2022,1,-0.000177035
Andhra Pradesh,Vishakhapatnam,2022-01-23,2022,1,0.0
Andhra Pradesh,Vishakhapatnam,2022-01-24,2022,1,0.032415042
Andhra Pradesh,Vishakhapatnam,2022-01-25,2022,1,2.019441663
Andhra Pradesh,Vishakhapatnam,2022-01-26,2022,1,0.011750042
Andhra Pradesh,Vishakhapatnam,2022-01-27,2022,1,0.018464712
Andhra Pradesh,Vishakhapatnam,2022-01-28,2022,1,0.0
Andhra Pradesh,Vishakhapatnam,2022-01-29,2022,1,0.36303228
Andhra Pradesh,Vishakhapatnam,2022-01-30,2022,1,0.016107623
Andhra Pradesh,Vizianagaram,2022-01-01,2022,1,0.00285106
Andhra Pradesh,Vizianagaram,2022-01-03,2022,1,0.001397019
Andhra Pradesh,Vizianagaram,2022-01-04,2022,1,0.008705236
Andhra Pradesh,Vizianagaram,2022-01-05,2022,1,0.0
Andhra Pradesh,Vizianagaram,2022-01-06,2022,1,0.0
Andhra Pradesh,Vizianagaram,2022-01-07,2022,1,0.0
Andhra Pradesh,Vizianagaram,2022-01-08,2022,1,0.0
Andhra Pradesh,Vizianagaram,2022-01-09,2022,1,0.002594464
Andhra Pradesh,Vizianagaram,2022-01-10,2022,1,0.026205992
Andhra Pradesh,Vizianagaram,2022-01-11,2022,1,0.001976735
Andhra Pradesh,Vizianagaram,2022-01-12,2022,1,3.568643101
Andhra Pradesh,Vizianagaram,2022-01-13,2022,1,15.18275376
Andhra Pradesh,Vizianagaram,2022-01-14,2022,1,3.421746994
Andhra Pradesh,Vizianagaram,2022-01-15,2022,1,5.297839409
Andhra Pradesh,Vizianagaram,2022-01-16,2022,1,2.474938529
Andhra Pradesh,Vizianagaram,2022-01-17,2022,1,0.0
Andhra Pradesh,Vizianagaram,2022-01-18,2022,1,0.0
Andhra Pradesh,Vizianagaram,2022-01-19,2022,1,0.0
Andhra Pradesh,Vizianagaram,2022-01-20,2022,1,0.001520565
Andhra Pradesh,Vizianagaram,2022-01-21,2022,1,0.0
Andhra Pradesh,Vizianagaram,2022-01-22,2022,1,0.0
Andhra Pradesh,Vizianagaram,2022-01-23,2022,1,0.0
Andhra Pradesh,Vizianagaram,2022-01-24,2022,1,0.050230923
Andhra Pradesh,Vizianagaram,2022-01-25,2022,1,7.674021977
