Disease,Plant,Symptoms,Treatment,Prevention,Severity,Temperature_Range,Humidity_Range,Season
Leaf Curl,Chili,Upward curling and puckering of leaves,Control whiteflies with insecticides,Use yellow sticky traps,High,25-35,60-80,Summer
Powdery Mildew,Chili,White powdery coating on leaves,Apply sulfur or azoxystrobin,Proper spacing,Moderate,22-28,60-80,Winter
Anthracnose,Chili,Sunken circular lesions on fruits,Apply mancozeb or carbendazim,Harvest mature fruits,High,25-30,80-95,Monsoon
Bacterial Wilt,Chili,Sudden wilting without yellowing,No effective cure,Crop rotation and resistant varieties,High,28-35,75-90,Summer
Rust,Soybean,Reddish-brown pustules on lower leaf surface,Apply triazole fungicides,Use early maturing varieties,Moderate,20-28,80-95,Monsoon
Bacterial Blight,Soybean,Water-soaked lesions with yellow halo,Apply copper-based bactericide,Use disease-free seeds,Moderate,25-30,80-90,Monsoon
Frogeye Leaf Spot,Soybean,Circular spots with gray center,Apply azoxystrobin or trifloxystrobin,Crop rotation,Moderate,22-28,75-90,Monsoon
Pod Blight,Soybean,Dark lesions on pods,Apply fungicide during pod formation,Timely harvesting,Moderate,25-30,85-95,Monsoon
Tikka Disease,Groundnut,Circular dark brown spots on leaves,Apply chlorothalonil or mancozeb,Crop rotation,High,25-30,80-90,Monsoon
Rust,Groundnut,Orange pustules on lower leaf surface,Apply tebuconazole or propiconazole,Use resistant varieties,Moderate,22-28,85-95,Monsoon
Stem Rot,Groundnut,Rotting of stem at soil level,Apply carbendazim to soil,Proper drainage,High,28-35,75-90,Monsoon
Bud Necrosis,Groundnut,Necrotic spots on leaves and growing tips,Control thrips with insecticides,Remove infected plants,Moderate,25-32,60-80,Summer
Purple Blotch,Onion,Purple spots with concentric rings,Apply mancozeb or chlorothalonil,Crop rotation,Moderate,20-25,85-95,Monsoon
Stemphylium Blight,Onion,Small brown spots on leaves,Apply azoxystrobin or difenoconazole,Proper spacing,Moderate,15-25,80-95,Monsoon
Basal Rot,Onion,Rotting of bulb from base,Proper curing and storage,Avoid injury during harvesting,Moderate,25-32,70-85,Storage
Downy Mildew,Onion,Pale green to yellow patches on leaves,Apply metalaxyl or mancozeb,Avoid excess irrigation,High,15-22,90-100,Winter
